id,question,q_type
1,"Что выведет следующий фрагмент кода (python 3.X)
x = 4.5
y = 2
print(x//y)",python
2,"Что выведет следующий фрагмент кода  (python 3.X)
x = 4.5
y = 2
print(x%y)",python
3,"Что выведет следующий фрагмент кода  (python 3.X)
x = 4.5
y = 2
print(x/y)",python
4,"Что будет напечатано?
users = {'user', 'admin', 'guest'}
print(users['admin'])",python
5,"Что выведет код?
L = [1, 2, 3]
M = L
print( L == M )",python
6,"Что выведет код?
 L = [1, 2, 3]
M = L
print( L is M)",python
7,"Что будет напечатано?
x = True
y = False
z = False
if not x or y:
    print(1)
elif not x or not y and z:
    print(2)
elif not x or y or not y and x:
    print(3)
else:
    print(4)",python
8,"Изменится ли значение переменной А?
A = [“spam”]
B = A[:]
B[0] = “shrubbery”",python
9,"Изменится ли значение переменной А?
A = [“spam”]
B = A
B[0] = “shrubbery”",python
10,"Что делает следующий код?
def a(b, c, d): pass",python
11,"Что возвращает функция, если в ней отсутствует инструкция return",python
12,"Что выведет следующая программа?
X = 88 # 
def func():
    global X
    X = 99 # 
func()
print(X)",python
13,"Что будет напечатано?
name = ""snow storm""
print(""%s"" % name[6:8])",python
14,"Что выведет следующий код?
d = lambda p: p * 2
t = lambda p: p * 3
x = 2
x = d(x)
x = t(x)
x = d(x)
print(x)",python
15,"Что выведет следующая программа?
a = [1,2,3,None,(),[],]
print(len(a))",python
16,Что такое нулевая гипотеза?,ds
17,Что такое ошибка 1 рода  в терминах ошибок классификации — confusion matrix (матрица ошибок)?,ds
18,Что такое ошибка 2 рода  в терминах ошибок классификации — confusion matrix (матрица ошибок)?,ds
19,Что такое центральная предельная теорема?,ds
20,"Линейная регрессия имеет зависимые переменные, которые имеют
непрерывные значения?",ds
21,"Логистическая регрессия имеет зависимые переменные, которые имеют
непрерывные значения?",ds
22,Что такое precision?,ds
23,Что такое recall?,ds
24,Какие метрики качества используются в задачах регрессии?,ds
25,Какой используется критерий разбиения в деревьях решений.,ds
26,"Каков будет результат выполнения следующего кода:
List<string> a = new List<string>();
a.Items.Add(“a”);
a.Items.Add(“b”);
a.Items.Add(“c”);
MessageBox.Show(a[3]);",c#
27,Укажите вариант правильного перебора всех элементов List<string>MyList в цикле:,c#
28,Укажите правильный вариант записи строковых переменных:,c#
29,Укажите как импортируются библиотеки в C#?,c#
30,"Какой результат выполнения кода:
var numbers = new int[] {1,2,3,4}
var y = numbers.select(x=>{ x = x*2; return x})
return numbers[3]",c#
31,Выберите правильный вид комментариев:,c#
32,Как правильно обернуть исключение :,c#
33,Когда используется SELECT INTO? (SQL Server),sql
34,Как из таблицы выбрать все записи c четными ID?,sql
35,В чем разница между однорядными и многорядными функциями?,sql
36,Для чего используется GROUP BY?,sql
37,"В чем разница между условиями WHERE и HAVING, если в запросе не используется GROUP BY?",sql
38,"В чем разница между условиями WHERE и HAVING, если в запросе используется GROUP BY?",sql
39,Важен ли в составном индексе порядок столбцов?,sql
40,Что такое первичный ключ (Primary key)?,sql
41,Допускаются ли нулевые значения Null в первичном ключе (Primary key)?,sql
42,Совпадают ли значения NULL со значениями нуля или пробела?,sql
43,В чем разница между командами DROP и TRUNCATE? SQL Server,sql
44,Что такое внешний ключ (Foreign key)?,sql
45,SQL-запрос для отображения текущей даты.,sql
46,Какие команды относятся к  DCL (Data Control Language).,sql
47,Какие команды относятся к  DML (Data Manipulation Language).,sql
48,Какие команды относятся к  DDL (Data Definition Language).,sql
