question_id,answer,yes_no
1,2,0
1,2.25,0
1,2.0,1
1,0.5,0
2,0.5,1
2,2.25,0
2,2.0,0
2,0.5,0
3,2,0
3,2.25,1
3,2.0,0
3,0.5,0
4,user',0
4,admin',0
4,guest,0
4,TypeError',1
5,True,1
5,False,0
5,"[1, 2, 3]",0
5,SynraxError,0
6,True,1
6,False,0
6,"[1, 2, 3]",0
6,SynraxError,0
7,1,0
7,2,0
7,3,1
7,4,0
8,- Да,0
8,- Нет,1
9,- Да,1
9,- Нет,0
10,"- Определяет функцию, которая ничего не делает.",1
10,"- Определяет функцию, которая передает параметры.",0
10,- Определяет класс.,0
10,- Определяет переменные.,0
10,- Определяет список переменных.,0
11,Null,0
11,SyntaxError,0
11,None,1
11,0,0
12,88,0
12,99,1
12,TypeError',0
12,0,0
13,SyntaxError,0
13,tor,0
13,to,1
13,storm,0
14,7,0
14,12,0
14,24,1
14,36,0
14,48,0
15,SyntaxError,0
15,IndexErrror,0
15,3,0
15,4,0
15,6,1
16,"- Принимаемое по умолчанию предположение о том, что между двумя наблюдаемыми феноменами нет связи.",0
16,"- Принимаемое по умолчанию предположение о том, что наблюдаемые феномены равны нулю.",0
16,"- Принимаемое по умолчанию предположение о том, что вероятность отклонений в наблюдаемых данных равна нулю.",0
16,"- Принимаемое по умолчанию предположение о том, что между двумя наблюдаемыми феноменами есть связь.",1
17,TP,0
17,FP,1
17,FN,0
17,TN,0
18,TP,0
18,FP,0
18,FN,1
18,TN,0
19,"- Когда случайная величина образуется в результате сложения большого числа независимых случайных величин, закон распределения этой случайной величины существенно отличается от нормального закона. ",0
19,"- Когда случайная величина образуется в результате сложения малого числа независимых случайных величин, закон распределения этой случайной величины оказывается практически нормальным законом. ",0
19,"- Когда случайная величина образуется в результате сложения большого числа независимых случайных величин, закон распределения этой случайной величины оказывается практически нормальным законом. ",1
20,Да,1
20,Нет,0
21,Да,0
21,Нет,1
22,"- Доля объектов, названных классификатором положительными и при этом действительно являющимися положительными.",1
22,"- Доля объектов, названных классификатором отрицательными и при этом действительно являющимися отрицательными.",0
22,"- Доля объектов, названных классификатором отрицательными при этом действительно являющимися положительными.",0
23,- Какую долю отрицательного класса из всех объектов нашел алгоритм.,0
23,- Какую долю каждого класса из всех объектов нашел алгоритм.,0
23,- Какую долю положительного класса из всех объектов нашел алгоритм.,1
24,"- Средняя квадратичная (Mean Squared Error, MSE) и средняя абсолютная (Mean Absolute Error, MAE) ошибки.",1
24,- Доля правильных ответов.,0
24,"- Precision, recall и f1 мера.",0
25,- Случайный выбор.,0
25,- Минимизация значений признаков.,0
25,"- Прирост информации (information gain, IG).",1
26,“c”,0
26,Null,0
26,Исключение list index out of range,1
27,A = [x for x in MyList];,0
27,for each(string x in MyList) {},1
27,for(i in MyList){},0
